session_id,user_id,track_id,session_intent,intent_encoded,mood_pre,mood_post,delta_mood,efficacy_rating,efficacy_label,tempo_bpm,energy,valence,acousticness,instrumentalness,speechiness,loudness_db,user_mean_mood,mood_pre_centered
sess_00067,user_0473,track_3925,grief_processing,2,12.1,14.8,2.75,6,0,131.7,0.374,0.49,0.2,0.249,0.492,-18.0,14.733333333333333,-2.633333333333333
sess_00068,user_0084,track_2166,deep_focus,3,26.4,25.2,-1.14,5,0,189.4,0.703,0.692,0.357,0.406,0.224,-12.9,47.916666666666664,-21.516666666666666
sess_00069,user_0487,track_0684,mood_uplift,4,55.2,59.0,3.77,6,0,91.9,0.734,0.428,0.245,0.861,0.049,-22.1,37.71176470588235,17.48823529411765
sess_00070,user_0135,track_1335,sleep_induction,0,23.0,19.2,-3.87,5,0,160.8,0.503,0.856,0.458,0.365,0.026,-14.5,31.78888888888889,-8.788888888888891
sess_00071,user_0459,track_3395,anxiety_relief,1,56.7,63.2,6.53,7,1,123.0,0.686,0.574,0.161,0.035,0.02,-17.1,46.336363636363636,10.363636363636367
sess_00072,user_0375,track_1712,grief_processing,2,5.0,5.4,0.4,4,0,124.2,0.502,0.854,0.484,0.118,0.13,-10.0,15.104761904761904,-10.104761904761904
sess_00073,user_0187,track_4401,deep_focus,3,5.0,9.9,4.9,7,1,91.0,0.397,0.3,0.344,0.588,0.047,-23.6,21.784615384615385,-16.784615384615385
sess_00074,user_0178,track_4762,mood_uplift,4,15.2,20.3,5.09,6,1,114.0,0.893,0.901,0.498,0.127,0.31,-9.8,9.126666666666667,6.073333333333332
sess_00075,user_0069,track_1723,sleep_induction,0,15.1,13.0,-2.08,5,0,162.7,0.758,0.23,0.239,0.024,0.22,-6.0,19.564,-4.464
sess_00076,user_0310,track_3850,anxiety_relief,1,59.2,61.6,2.45,7,1,122.7,0.346,0.255,0.151,0.016,0.127,-12.1,64.76923076923077,-5.569230769230771
sess_00077,user_0123,track_2417,grief_processing,2,26.0,30.1,4.08,5,0,86.0,0.915,0.191,0.535,0.026,0.299,-7.6,23.79375,2.2062500000000007
sess_00078,user_0468,track_0275,deep_focus,3,33.9,34.7,0.75,6,0,116.6,0.551,0.779,0.082,0.336,0.458,-2.8,39.518181818181816,-5.618181818181817
sess_00079,user_0301,track_0494,mood_uplift,4,23.6,24.8,1.2,6,0,95.7,0.389,0.552,0.481,0.292,0.02,-17.2,11.354545454545455,12.245454545454546
sess_00080,user_0069,track_1414,sleep_induction,0,10.1,10.0,-0.12,4,0,146.0,0.057,0.59,0.489,0.478,0.142,-12.3,19.564,-9.464
sess_00081,user_0054,track_4933,anxiety_relief,1,54.8,57.8,3.08,4,0,121.1,0.655,0.659,0.441,0.091,0.413,-15.1,54.81578947368421,-0.01578947368421524
sess_00082,user_0176,track_2522,grief_processing,2,40.6,42.4,1.79,5,0,98.6,0.363,0.704,0.221,0.217,0.126,-23.7,39.35,1.25
sess_00083,user_0152,track_0205,deep_focus,3,63.7,71.7,7.97,7,1,103.5,0.471,0.618,0.204,0.662,0.174,-13.9,68.065,-4.364999999999995
sess_00084,user_0182,track_2915,mood_uplift,4,17.4,21.0,3.54,5,0,163.3,0.714,0.606,0.592,0.079,0.094,-24.4,20.253333333333334,-2.8533333333333353
sess_00085,user_0429,track_0545,sleep_induction,0,41.5,35.2,-6.25,4,-1,100.2,0.473,0.832,0.482,0.108,0.081,-12.9,41.778260869565216,-0.2782608695652158
sess_00086,user_0222,track_0422,anxiety_relief,1,25.0,34.9,9.9,7,1,87.2,0.508,0.23,0.715,0.134,0.045,-21.9,23.49,1.5100000000000016
sess_00087,user_0186,track_1536,grief_processing,2,37.0,45.4,8.42,7,1,127.5,0.504,0.342,0.105,0.3,0.124,-19.7,14.305263157894737,22.694736842105264
sess_00088,user_0068,track_2085,deep_focus,3,37.4,34.0,-3.41,6,0,128.3,0.544,0.307,0.292,0.159,0.152,-21.2,46.90833333333333,-9.508333333333333
sess_00089,user_0080,track_1156,mood_uplift,4,45.1,46.8,1.7,3,-1,105.0,0.478,0.824,0.389,0.088,0.307,-10.9,28.768181818181816,16.331818181818186
sess_00090,user_0029,track_1970,sleep_induction,0,5.0,7.3,2.27,5,0,97.9,0.897,0.581,0.489,0.399,0.02,-9.3,12.038888888888888,-7.038888888888888
sess_00091,user_0038,track_0181,anxiety_relief,1,41.8,47.2,5.35,6,1,111.6,0.526,0.551,0.146,0.093,0.063,-14.9,47.71333333333334,-5.913333333333341
sess_00092,user_0090,track_1325,grief_processing,2,49.6,47.2,-2.33,4,0,134.0,0.86,0.739,0.598,0.197,0.03,-21.0,67.70588235294117,-18.105882352941173
sess_00093,user_0180,track_4986,deep_focus,3,50.3,49.5,-0.81,3,-1,116.7,0.595,0.772,0.317,0.322,0.439,-17.0,38.857142857142854,11.442857142857143
sess_00094,user_0338,track_3490,mood_uplift,4,25.6,33.4,7.76,6,1,68.6,0.857,0.806,0.109,0.57,0.301,-15.8,36.16875,-10.568750000000001
sess_00095,user_0170,track_1949,sleep_induction,0,69.3,64.4,-4.84,4,0,165.0,0.618,0.361,0.44,0.046,0.053,-5.4,44.17727272727273,25.122727272727268
sess_00096,user_0067,track_3363,anxiety_relief,1,37.6,48.6,11.02,6,1,77.2,0.619,0.343,0.464,0.411,0.049,-8.0,40.121428571428574,-2.5214285714285722
sess_00097,user_0241,track_3043,grief_processing,2,5.0,3.8,-1.2,4,0,90.2,0.56,0.748,0.331,0.16,0.276,-19.1,9.47,-4.470000000000001
sess_00098,user_0361,track_3751,deep_focus,3,68.8,76.1,7.29,6,1,86.0,0.259,0.741,0.434,0.523,0.068,-21.2,72.84117647058824,-4.0411764705882405
sess_00099,user_0223,track_0918,mood_uplift,4,14.4,17.8,3.39,5,0,145.9,0.626,0.62,0.123,0.063,0.406,-18.3,9.053846153846154,5.346153846153847
sess_00100,user_0427,track_4868,sleep_induction,0,69.2,67.6,-1.6,5,0,169.6,0.155,0.427,0.239,0.011,0.175,-13.3,76.4625,-7.262500000000003
sess_00101,user_0217,track_0812,anxiety_relief,1,5.0,5.1,0.14,5,0,112.6,0.199,0.884,0.183,0.026,0.13,-6.7,23.614285714285717,-18.614285714285717
sess_00102,user_0015,track_4400,grief_processing,2,29.8,29.7,-0.14,6,0,103.5,0.314,0.682,0.289,0.353,0.072,-12.3,29.200000000000003,0.5999999999999979
sess_00103,user_0185,track_0665,deep_focus,3,23.0,19.3,-3.73,4,0,53.8,0.529,0.465,0.511,0.126,0.427,-11.4,37.87222222222223,-14.872222222222227
sess_00104,user_0238,track_1327,mood_uplift,4,27.4,22.3,-5.03,4,-1,57.3,0.811,0.197,0.961,0.489,0.02,-11.3,12.52142857142857,14.878571428571428
sess_00105,user_0041,track_2019,sleep_induction,0,42.1,45.7,3.59,5,0,119.3,0.269,0.664,0.551,0.122,0.021,-9.0,44.29545454545455,-2.1954545454545453
sess_00106,user_0379,track_4931,anxiety_relief,1,26.1,30.7,4.63,6,0,77.7,0.332,0.33,0.398,0.017,0.146,-13.3,17.41764705882353,8.682352941176472
sess_00107,user_0329,track_1888,grief_processing,2,38.7,40.7,1.98,5,0,58.2,0.605,0.592,0.295,0.103,0.02,-19.2,34.695238095238096,4.0047619047619065
sess_00108,user_0115,track_3701,deep_focus,3,20.1,19.1,-0.97,6,0,78.3,0.739,0.297,0.339,0.225,0.211,-10.5,19.605263157894736,0.49473684210526514
sess_00109,user_0053,track_0670,mood_uplift,4,12.3,19.7,7.41,5,1,128.5,0.582,0.818,0.432,0.116,0.108,-5.1,17.78666666666667,-5.486666666666668
sess_00110,user_0359,track_1827,sleep_induction,0,13.3,17.3,4.04,5,0,151.8,0.388,0.309,0.186,0.364,0.108,-12.9,19.333333333333332,-6.033333333333331
sess_00111,user_0265,track_4856,anxiety_relief,1,33.0,35.5,2.48,7,1,61.0,0.685,0.87,0.082,0.317,0.124,-6.7,37.019999999999996,-4.019999999999996
sess_00112,user_0160,track_1358,grief_processing,2,10.4,11.5,1.05,6,0,92.7,0.647,0.609,0.206,0.406,0.033,-0.6,14.433333333333334,-4.033333333333333
sess_00113,user_0203,track_2447,deep_focus,3,38.4,35.6,-2.79,3,-1,91.3,0.657,0.664,0.148,0.193,0.151,-3.3,54.539130434782614,-16.139130434782615
sess_00114,user_0353,track_0178,mood_uplift,4,36.7,34.5,-2.27,6,0,101.4,0.382,0.223,0.367,0.358,0.851,-13.8,47.64666666666667,-10.946666666666665
sess_00115,user_0304,track_1623,sleep_induction,0,49.9,52.2,2.3,5,0,140.3,0.132,0.557,0.878,0.241,0.13,-11.2,33.526666666666664,16.373333333333335
sess_00116,user_0124,track_3343,anxiety_relief,1,14.1,24.2,10.1,6,1,128.5,0.367,0.765,0.186,0.06,0.16,-6.1,19.72222222222222,-5.622222222222222
sess_00117,user_0026,track_4332,grief_processing,2,36.3,40.1,3.75,4,0,150.9,0.888,0.239,0.64,0.007,0.069,-15.4,25.279999999999998,11.02
sess_00118,user_0212,track_0844,deep_focus,3,27.5,34.0,6.53,6,1,108.9,0.513,0.563,0.592,0.269,0.065,-23.5,38.59230769230769,-11.092307692307692
sess_00119,user_0244,track_2317,mood_uplift,4,47.9,44.7,-3.17,4,0,117.1,0.45,0.138,0.19,0.16,0.105,-12.6,29.73157894736842,18.16842105263158
sess_00120,user_0036,track_3939,sleep_induction,0,36.4,34.6,-1.75,3,-1,149.4,0.389,0.27,0.102,0.131,0.054,-15.2,36.603571428571435,-0.20357142857143629
sess_00121,user_0110,track_3152,anxiety_relief,1,69.2,74.7,5.47,7,1,117.6,0.744,0.648,0.356,0.013,0.062,-12.7,72.98666666666666,-3.7866666666666617
sess_00122,user_0363,track_4739,grief_processing,2,52.9,61.1,8.19,7,1,103.6,0.402,0.487,0.744,0.302,0.279,-4.3,49.22,3.6799999999999997
sess_00123,user_0071,track_3214,deep_focus,3,61.1,67.4,6.35,6,1,135.5,0.677,0.437,0.158,0.511,0.651,-20.4,56.021052631578954,5.078947368421048
sess_00124,user_0060,track_3833,mood_uplift,4,5.0,6.0,1.04,6,0,81.8,0.35,0.78,0.197,0.15,0.201,-9.6,15.26,-10.26
sess_00125,user_0422,track_4984,sleep_induction,0,23.5,29.6,6.08,7,1,61.8,0.418,0.462,0.124,0.15,0.139,-14.1,25.26666666666667,-1.7666666666666693
sess_00126,user_0146,track_4014,anxiety_relief,1,28.3,28.7,0.43,6,0,110.1,0.271,0.581,0.234,0.33,0.188,-16.0,21.730434782608697,6.569565217391304
sess_00127,user_0396,track_4021,grief_processing,2,5.0,13.3,8.32,8,1,115.9,0.144,0.559,0.459,0.235,0.111,-15.2,11.86923076923077,-6.86923076923077
sess_00128,user_0316,track_4594,deep_focus,3,12.4,16.1,3.72,7,1,127.7,0.123,0.706,0.283,0.21,0.155,-12.4,18.778947368421054,-6.378947368421054
sess_00129,user_0460,track_3115,mood_uplift,4,23.6,21.7,-1.85,5,0,127.5,0.256,0.398,0.563,0.368,0.027,-6.4,11.163636363636364,12.436363636363637
sess_00130,user_0219,track_3797,sleep_induction,0,35.0,34.6,-0.46,4,0,73.3,0.394,0.788,0.296,0.145,0.054,-3.0,33.14375,1.8562500000000028
sess_00131,user_0359,track_3807,anxiety_relief,1,16.6,18.4,1.71,3,-1,109.8,0.353,0.413,0.088,0.251,0.322,-23.6,19.333333333333332,-2.7333333333333307
sess_00132,user_0283,track_4140,grief_processing,2,13.6,17.2,3.59,6,0,100.6,0.606,0.51,0.235,0.184,0.072,-25.4,10.74736842105263,2.852631578947369
sess_00133,user_0241,track_1364,deep_focus,3,5.0,5.3,0.29,5,0,93.6,0.872,0.412,0.595,0.108,0.258,-7.4,9.47,-4.470000000000001
sess_00134,user_0368,track_2680,mood_uplift,4,41.6,52.2,10.54,7,1,142.0,0.727,0.774,0.516,0.183,0.335,-6.4,29.900000000000002,11.7
sess_00135,user_0047,track_0330,sleep_induction,0,25.9,24.6,-1.28,4,0,150.3,0.467,0.404,0.564,0.11,0.575,-8.9,19.253333333333334,6.646666666666665
sess_00136,user_0166,track_4954,anxiety_relief,1,22.1,26.7,4.58,5,0,138.7,0.438,0.552,0.611,0.509,0.076,-11.1,30.021052631578947,-7.921052631578945
sess_00137,user_0032,track_2577,grief_processing,2,24.5,29.0,4.51,5,0,76.1,0.291,0.386,0.366,0.448,0.046,-5.2,14.153333333333334,10.346666666666666
sess_00138,user_0417,track_3426,deep_focus,3,23.6,18.3,-5.37,4,-1,116.4,0.509,0.283,0.418,0.103,0.124,-17.2,23.0625,0.5375000000000014
sess_00139,user_0336,track_1739,mood_uplift,4,47.1,44.1,-3.06,3,-1,108.3,0.294,0.386,0.306,0.09,0.463,-15.2,51.35,-4.25
sess_00140,user_0446,track_0658,sleep_induction,0,29.4,29.5,0.17,4,0,141.4,0.379,0.324,0.334,0.192,0.07,-21.3,26.95,2.4499999999999993
sess_00141,user_0101,track_0720,anxiety_relief,1,15.1,19.8,4.63,6,0,102.1,0.241,0.764,0.365,0.571,0.025,-17.4,19.2,-4.1
sess_00142,user_0188,track_3808,grief_processing,2,27.6,35.7,8.11,5,1,102.0,0.917,0.228,0.704,0.177,0.028,-18.9,22.63125,4.96875
sess_00143,user_0467,track_3300,deep_focus,3,5.0,7.6,2.57,5,0,121.5,0.137,0.578,0.631,0.177,0.031,-11.0,8.98,-3.9800000000000004
sess_00144,user_0448,track_3658,mood_uplift,4,12.5,14.8,2.32,6,0,77.8,0.274,0.693,0.415,0.358,0.57,-13.3,12.455,0.04499999999999993
sess_00145,user_0260,track_4288,sleep_induction,0,30.8,40.6,9.79,7,1,101.1,0.4,0.455,0.056,0.473,0.062,-19.2,29.07333333333333,1.7266666666666701
sess_00146,user_0262,track_3305,anxiety_relief,1,72.7,78.5,5.79,5,1,120.5,0.851,0.343,0.618,0.123,0.27,-13.9,72.28461538461539,0.41538461538461036
sess_00147,user_0126,track_4982,grief_processing,2,22.9,29.7,6.85,5,1,53.7,0.597,0.202,0.161,0.437,0.02,-3.6,14.344444444444443,8.555555555555555
sess_00148,user_0261,track_2089,deep_focus,3,22.7,35.7,13.05,7,1,119.0,0.374,0.367,0.444,0.459,0.02,-15.4,33.675000000000004,-10.975000000000005
sess_00149,user_0141,track_3480,mood_uplift,4,40.8,38.0,-2.74,4,0,90.0,0.231,0.529,0.358,0.293,0.13,-18.8,15.394736842105264,25.405263157894733
sess_00150,user_0033,track_2918,sleep_induction,0,50.2,50.8,0.53,5,0,74.4,0.858,0.628,0.199,0.388,0.084,-12.2,21.817647058823532,28.38235294117647
sess_00151,user_0479,track_0359,anxiety_relief,1,24.5,28.3,3.78,5,0,100.6,0.403,0.761,0.18,0.136,0.069,-11.8,14.053846153846154,10.446153846153846
sess_00152,user_0345,track_2752,grief_processing,2,18.1,27.6,9.42,5,1,56.4,0.404,0.086,0.438,0.162,0.12,0.0,27.14545454545454,-9.04545454545454
sess_00153,user_0059,track_4514,deep_focus,3,10.9,18.5,7.65,5,1,107.7,0.203,0.24,0.592,0.539,0.067,-9.4,12.568,-1.6679999999999993
sess_00154,user_0380,track_1768,mood_uplift,4,36.3,29.5,-6.83,4,-1,77.5,0.58,0.278,0.676,0.153,0.175,-11.7,44.042857142857144,-7.742857142857147
sess_00155,user_0098,track_2929,sleep_induction,0,16.5,19.9,3.42,7,1,95.7,0.639,0.759,0.237,0.069,0.124,-13.3,46.57647058823529,-30.07647058823529
sess_00156,user_0285,track_0918,anxiety_relief,1,6.4,13.1,6.72,7,1,145.9,0.626,0.62,0.123,0.063,0.406,-18.3,25.318181818181817,-18.918181818181814
sess_00157,user_0143,track_2580,grief_processing,2,36.9,41.1,4.18,6,0,75.3,0.431,0.674,0.774,0.476,0.087,-16.9,16.843478260869563,20.056521739130435
sess_00158,user_0119,track_3718,deep_focus,3,13.6,13.2,-0.43,7,1,118.7,0.686,0.515,0.487,0.005,0.137,-3.6,38.64375,-25.043749999999996
sess_00159,user_0153,track_4159,mood_uplift,4,30.0,22.6,-7.45,4,-1,118.7,0.111,0.383,0.587,0.399,0.057,-10.1,21.58421052631579,8.41578947368421
