user_id,baseline_mood,age_group,sensitivity_flags,n_sessions
user_0048,30.179567249107976,25-34,anxiety_prone,10
user_0049,43.5130015580587,55+,"grief_sensitive,anxiety_prone,sleep_disorder",35
user_0050,15.305736204052996,18-24,,37
user_0051,8.775679608506191,18-24,,37
user_0052,36.7635619363383,25-34,,22
user_0053,18.259827950573285,55+,,54
user_0054,48.10518643265961,25-34,,5
user_0055,58.620919610539154,35-44,,24
user_0056,13.175272365312807,25-34,grief_sensitive,56
user_0057,24.939265606791476,45-54,grief_sensitive,7
user_0058,68.6076335582246,25-34,sleep_disorder,2
user_0059,11.255285375562394,25-34,anxiety_prone,29
user_0060,11.020763868602451,25-34,anxiety_prone,15
user_0061,23.877473466950644,18-24,sleep_disorder,59
user_0062,14.878395690485318,25-34,,30
user_0063,30.011743308594458,18-24,grief_sensitive,45
user_0064,37.68911872835257,25-34,anxiety_prone,6
user_0065,31.6076550676362,55+,"grief_sensitive,sleep_disorder",38
user_0066,20.981129683539425,35-44,,20
user_0067,45.23847296769468,55+,"anxiety_prone,sleep_disorder",32
user_0068,52.29591923636363,45-54,grief_sensitive,29
user_0069,17.416517546422178,55+,,11
user_0070,29.683197870676064,18-24,grief_sensitive,5
user_0071,56.799073689849735,55+,anxiety_prone,13
user_0072,22.425496667968407,25-34,,24
user_0073,67.51846363915328,55+,,15
user_0074,5.0,45-54,"grief_sensitive,anxiety_prone",45
user_0075,44.662364935323254,25-34,anxiety_prone,32
user_0076,34.03798967342354,45-54,grief_sensitive,47
user_0077,6.645597579752936,55+,,31
user_0078,58.680516889390454,18-24,grief_sensitive,38
user_0079,15.805785239318421,55+,grief_sensitive,18
user_0080,26.67811266496221,25-34,anxiety_prone,6
user_0081,46.61997594375889,18-24,anxiety_prone,33
user_0082,47.47235913021282,25-34,grief_sensitive,7
user_0083,51.91268423202226,45-54,anxiety_prone,30
user_0084,44.31429385248184,18-24,anxiety_prone,26
user_0085,30.114124307954025,55+,sleep_disorder,55
user_0086,26.05809093891272,35-44,anxiety_prone,43
user_0087,7.631844646574569,45-54,anxiety_prone,45
user_0088,20.8566709273055,45-54,,55
user_0089,5.0,35-44,"grief_sensitive,anxiety_prone",8
user_0090,69.08168759625565,35-44,grief_sensitive,10
user_0091,54.62792042507195,35-44,"grief_sensitive,anxiety_prone",59
user_0092,21.648299219884873,45-54,grief_sensitive,50
user_0093,23.731047109751934,18-24,,32
user_0094,5.207575879813057,25-34,"grief_sensitive,anxiety_prone",7
user_0095,20.054225916162853,45-54,,56
user_0096,16.667361897522998,18-24,,42
user_0097,33.623805402958446,55+,,56
user_0098,46.14711550541028,18-24,,47
user_0099,21.501452163179113,45-54,anxiety_prone,58
user_0100,32.56433947491006,55+,,57
user_0101,18.198837734626665,55+,,32
user_0102,19.314624347924166,55+,anxiety_prone,10
user_0103,31.96974823561103,35-44,grief_sensitive,47
user_0104,24.08472791514442,55+,,57
user_0105,40.33207035571137,35-44,grief_sensitive,53
user_0106,14.647677222766974,45-54,,47
user_0107,21.314128417881314,45-54,,51
user_0108,20.165353831397873,35-44,"grief_sensitive,anxiety_prone",57
user_0109,9.414646707663971,25-34,"grief_sensitive,anxiety_prone",43
user_0110,74.22039042996977,35-44,"grief_sensitive,anxiety_prone",11
user_0111,43.1994825834485,55+,anxiety_prone,54
user_0112,30.41731455308822,18-24,,49
user_0113,37.75300587954399,45-54,,35
user_0114,30.896508260619914,18-24,,52
user_0115,19.842917385815504,35-44,,29
user_0116,20.687372845467234,45-54,sleep_disorder,4
user_0117,38.28467635758108,25-34,"grief_sensitive,anxiety_prone",21
user_0118,36.45528828182055,35-44,,16
user_0119,36.024782080345105,25-34,,21
user_0120,37.64909650449765,25-34,grief_sensitive,28
user_0121,22.03837460931424,25-34,,9
user_0122,34.031067785451,55+,grief_sensitive,57
user_0123,30.575314941879466,45-54,,46
user_0124,13.288306831220547,25-34,,22
user_0125,24.239820840898123,18-24,,41
user_0126,15.56470501114109,25-34,,41
user_0127,20.98334157675927,45-54,,4
user_0128,58.49688131160505,25-34,"grief_sensitive,anxiety_prone",25
user_0129,7.69305959701699,18-24,anxiety_prone,39
user_0130,15.107312762415335,18-24,anxiety_prone,39
user_0131,10.741990543439925,25-34,anxiety_prone,40
user_0132,41.21090990804044,45-54,,30
user_0133,43.272238160411,45-54,grief_sensitive,9
user_0134,10.899086019605967,18-24,"grief_sensitive,anxiety_prone",8
user_0135,36.915361843052295,45-54,,47
user_0136,55.73343261876103,25-34,anxiety_prone,22
user_0137,22.93594146612795,18-24,,44
user_0138,62.10302425886064,35-44,,24
user_0139,58.76774112200513,45-54,,20
user_0140,18.39414028842695,18-24,"grief_sensitive,anxiety_prone",20
user_0141,15.57873815393763,55+,,23
user_0142,27.413472354105288,35-44,grief_sensitive,5
user_0143,14.741179652658978,55+,sleep_disorder,37
user_0144,19.740538569706636,35-44,anxiety_prone,59
user_0145,44.415362312914304,45-54,,31
user_0146,22.113545563980843,35-44,,22
user_0147,47.97042330597164,55+,,20
user_0148,31.03137597382466,55+,,31
user_0149,30.917856268891462,45-54,,41
user_0150,38.099968005383076,35-44,anxiety_prone,35
user_0151,10.887100926189056,18-24,anxiety_prone,49
user_0152,71.47732172385918,18-24,sleep_disorder,42
user_0153,18.401091133222312,55+,anxiety_prone,10
user_0154,52.001116034169506,55+,,29
user_0155,5.2952673959267536,55+,,51
user_0156,59.971287720582836,55+,,31
user_0157,81.8029416819988,35-44,grief_sensitive,47
user_0158,54.205267455630526,18-24,,4
user_0159,47.38670004708273,35-44,,12
user_0160,9.716821765942129,45-54,grief_sensitive,11
user_0161,56.45462496622616,45-54,grief_sensitive,7
user_0162,58.86280639146217,35-44,anxiety_prone,16
user_0163,24.219011505863037,45-54,grief_sensitive,15
user_0164,21.502716619856542,45-54,,53
user_0165,17.221822902424034,18-24,,54
user_0166,26.734645081621583,35-44,,42
user_0167,45.129792525517956,55+,"grief_sensitive,anxiety_prone",7
user_0168,33.737768081687285,45-54,sleep_disorder,39
user_0169,45.10230628859973,35-44,anxiety_prone,48
user_0170,42.348733675069546,18-24,,26
user_0171,22.344848354465196,18-24,,47
user_0172,22.34912338310296,25-34,anxiety_prone,22
user_0173,35.97609730362773,35-44,,38
user_0174,40.11538014799618,45-54,,41
user_0175,45.8455388944579,55+,sleep_disorder,7
user_0176,37.23155909619204,25-34,grief_sensitive,28
user_0177,22.313776448510193,45-54,,41
user_0178,8.72106924018351,55+,anxiety_prone,16
user_0179,21.60266144036106,18-24,,13
user_0180,34.783572931820714,45-54,,46
user_0181,11.609161790864784,25-34,,34
user_0182,17.199731064169068,18-24,"anxiety_prone,sleep_disorder",13
user_0183,40.46449251172205,35-44,anxiety_prone,54
user_0184,51.95893125503454,25-34,grief_sensitive,59
user_0185,33.844531771248704,18-24,grief_sensitive,6
user_0186,12.953492932160632,45-54,sleep_disorder,32
user_0187,17.222214787305646,35-44,,45
user_0188,21.0959562946703,55+,grief_sensitive,45
user_0189,10.479520630924505,55+,sleep_disorder,59
user_0190,30.966936291568594,45-54,anxiety_prone,59
user_0191,59.43399238500021,55+,,34
user_0192,70.69247667567335,35-44,,1
user_0193,39.33181802248465,25-34,,50
user_0194,21.913587550671153,18-24,,58
user_0195,15.08086794209223,35-44,anxiety_prone,20
user_0196,18.75499537331801,45-54,grief_sensitive,40
user_0197,23.14499155428432,45-54,anxiety_prone,13
user_0198,9.967941317737557,18-24,,44
user_0199,44.605301464736016,18-24,,29
user_0200,42.947214504376106,45-54,,52
user_0201,8.00472643229738,18-24,,48
user_0202,15.825186792449944,25-34,grief_sensitive,27
user_0203,55.681408247813344,45-54,,39
user_0204,25.817434190794387,18-24,grief_sensitive,12
user_0205,14.865451962505544,35-44,,37
user_0206,17.583152303222217,45-54,,28
user_0207,53.70681258898509,18-24,,13
user_0208,32.37437468367192,35-44,,58
user_0209,28.639284015877838,25-34,grief_sensitive,45
user_0210,34.85680270152123,18-24,anxiety_prone,25
user_0211,34.1558047969811,45-54,,27
user_0212,39.38642174202956,18-24,"anxiety_prone,sleep_disorder",14
user_0213,50.13194328318231,35-44,anxiety_prone,29
user_0214,47.30912634568818,45-54,,58
user_0215,80.21968654291769,18-24,,38
user_0216,31.90829276743678,35-44,anxiety_prone,35
user_0217,24.68486330244357,45-54,grief_sensitive,26
user_0218,31.146622875902942,25-34,,40
user_0219,34.41315434578534,25-34,,13
user_0220,49.25239101449321,25-34,,58
user_0221,17.27657434332667,45-54,"anxiety_prone,sleep_disorder",46
user_0222,24.72860569644699,45-54,,2
user_0223,7.074046746425601,18-24,anxiety_prone,26
user_0224,19.98044272863387,55+,,50
user_0225,7.990324962283156,45-54,,40
user_0226,52.599560432991275,55+,anxiety_prone,38
user_0227,11.977930277409081,25-34,grief_sensitive,56
user_0228,17.23322471537538,35-44,,14
user_0229,72.0638524397071,18-24,sleep_disorder,43
user_0230,28.164294329902063,35-44,,33
user_0231,5.0,45-54,,28
user_0232,5.0,18-24,"grief_sensitive,anxiety_prone",15
user_0233,68.61911859123357,45-54,,35
user_0234,17.246047926184684,18-24,"grief_sensitive,anxiety_prone",33
user_0235,30.965033772712395,18-24,,19
user_0236,30.443985765554803,18-24,grief_sensitive,16
user_0237,20.18769444509052,55+,sleep_disorder,37
user_0238,5.843607006098114,18-24,,2
user_0239,30.723377923273194,45-54,,24
user_0240,5.0,35-44,anxiety_prone,6
user_0241,5.0,25-34,grief_sensitive,38
user_0242,17.404460330413947,55+,,31
user_0243,24.009103227547516,25-34,,36
user_0244,34.80896552669723,18-24,grief_sensitive,3
user_0245,35.710083527634595,18-24,,29
user_0246,50.118282178252905,45-54,anxiety_prone,32
user_0247,36.73154794879533,18-24,,58
user_0248,38.28359630715793,35-44,,47
user_0249,9.389743431833757,45-54,,50
user_0250,42.229144393454725,35-44,,27
user_0251,42.33421889919974,18-24,"anxiety_prone,sleep_disorder",21
user_0252,56.10141731060372,35-44,anxiety_prone,8
user_0253,12.470892383328822,18-24,,14
user_0254,9.696519683521519,55+,,15
user_0255,27.864434654056613,25-34,,55
user_0256,22.230934706573233,25-34,sleep_disorder,47
user_0257,37.756733350142866,45-54,,9
user_0258,35.23899845595133,45-54,anxiety_prone,25
user_0259,22.14299286667393,45-54,,17
user_0260,26.868814585505813,45-54,,57
user_0261,37.37679799162575,35-44,,59
user_0262,74.78673852095818,35-44,,30
user_0263,17.843245198636133,35-44,,29
user_0264,53.18592416963893,18-24,anxiety_prone,48
user_0265,35.27782398819354,18-24,anxiety_prone,54
user_0266,46.57633402946536,55+,grief_sensitive,34
user_0267,27.4867661426121,55+,,35
user_0268,57.338106560057255,45-54,anxiety_prone,14
user_0269,8.474130129141416,35-44,anxiety_prone,35
user_0270,12.036386605786747,35-44,,17
user_0271,5.0,35-44,grief_sensitive,8
user_0272,45.60311990095193,35-44,,57
user_0273,43.30612287846443,18-24,,2
user_0274,34.82639408243559,55+,anxiety_prone,17
user_0275,30.69100371128907,35-44,sleep_disorder,13
user_0276,64.37821719867921,35-44,grief_sensitive,19
user_0277,5.0,55+,anxiety_prone,41
user_0278,45.36049685128848,45-54,sleep_disorder,58
user_0279,19.18667393628931,45-54,,57
user_0280,30.798062365580325,45-54,,16
user_0281,18.103788055155608,25-34,,51
user_0282,33.2650786362271,55+,,39
user_0283,12.726078180819373,18-24,grief_sensitive,10
user_0284,34.85987406428336,45-54,,50
user_0285,30.50793656255663,55+,,31
user_0286,44.27211153891996,55+,,58
user_0287,35.87455005881882,55+,,46
user_0288,11.550827249196098,35-44,anxiety_prone,19
user_0289,33.087610803553865,25-34,,28
user_0290,51.99111558266545,55+,"anxiety_prone,sleep_disorder",19
user_0291,5.0,55+,,12
user_0292,20.829101860172557,18-24,,59
user_0293,55.84589908642923,55+,,34
user_0294,16.985861723329197,25-34,,58
user_0295,13.327874074339968,55+,,57
user_0296,21.702195274582774,35-44,,12
user_0297,7.003673922091784,45-54,,21
user_0298,36.98204422024264,55+,,22
user_0299,60.98317564963818,25-34,,38
user_0300,16.702726541590366,35-44,,43
user_0301,5.0,25-34,anxiety_prone,38
user_0302,50.14750425341431,18-24,,28
user_0303,45.72892072381348,35-44,,22
user_0304,39.59905902794404,35-44,anxiety_prone,45
user_0305,61.79548741719289,35-44,,37
user_0306,42.0106584873524,25-34,grief_sensitive,52
user_0307,57.631376981572004,25-34,,49
user_0308,43.45401155494974,55+,anxiety_prone,21
user_0309,29.971735819930096,25-34,"grief_sensitive,sleep_disorder",18
user_0310,69.28476000877684,45-54,,58
user_0311,46.35569557340563,18-24,,29
user_0312,36.53067653170075,55+,anxiety_prone,54
user_0313,7.9797992624430405,18-24,anxiety_prone,7
user_0314,38.680915393941085,35-44,anxiety_prone,10
user_0315,35.111661214644926,45-54,anxiety_prone,42
user_0316,12.957588752742646,35-44,"grief_sensitive,anxiety_prone",41
user_0317,56.56182924927421,35-44,,17
user_0318,28.29910590653324,45-54,"grief_sensitive,anxiety_prone",14
user_0319,49.81854496798455,55+,anxiety_prone,34
user_0320,35.40637276466371,18-24,,28
user_0321,66.1580905938137,25-34,,26
user_0322,15.960260533895646,35-44,,16
user_0323,51.599490075137226,45-54,,44
user_0324,33.04820824524145,35-44,,53
user_0325,37.130449395767776,18-24,,17
user_0326,15.902284833104439,35-44,,39
user_0327,5.0,55+,sleep_disorder,56
user_0328,25.175215631644615,55+,sleep_disorder,54
user_0329,34.29805683992953,25-34,anxiety_prone,42
user_0330,21.163611729059777,45-54,"grief_sensitive,anxiety_prone",25
user_0331,20.23588245146703,55+,,40
user_0332,49.75380901377954,18-24,grief_sensitive,57
user_0333,5.0,18-24,,26
user_0334,40.970820850267266,25-34,grief_sensitive,54
user_0335,32.34665671486753,18-24,,7
user_0336,52.97435557497704,25-34,sleep_disorder,28
user_0337,5.0,55+,,11
user_0338,34.689230304342644,35-44,anxiety_prone,41
user_0339,24.57000147298529,55+,,17
user_0340,27.15490746293537,35-44,grief_sensitive,47
user_0341,19.303398060455564,18-24,grief_sensitive,4
user_0342,42.26176689927133,35-44,,29
user_0343,42.90522556584203,18-24,"grief_sensitive,anxiety_prone",38
user_0344,36.17387378269815,25-34,,41
user_0345,35.808274817534134,55+,"grief_sensitive,anxiety_prone",3
user_0346,26.241588160232226,35-44,,23
user_0347,64.20995285857836,35-44,,27
user_0348,38.145572329461395,45-54,anxiety_prone,21
user_0349,7.723915430637971,45-54,,50
user_0350,13.025909490084025,25-34,anxiety_prone,27
user_0351,41.234275584596006,45-54,anxiety_prone,8
user_0352,39.93868604073095,35-44,grief_sensitive,27
user_0353,41.50373758599045,18-24,anxiety_prone,53
user_0354,11.003656822954726,55+,"anxiety_prone,sleep_disorder",31
user_0355,41.3319072423468,25-34,,24
user_0356,31.28201538516483,25-34,,42
user_0357,43.280643936464216,18-24,sleep_disorder,39
user_0358,31.0709596908917,35-44,anxiety_prone,21
user_0359,17.636713475971536,45-54,,36
user_0360,42.79548934024877,55+,anxiety_prone,6
user_0361,73.69423479736743,25-34,,23
user_0362,37.5636342376402,25-34,,20
user_0363,48.072761080847286,45-54,,26
user_0364,29.64402599584212,35-44,sleep_disorder,59
user_0365,50.314475878677044,45-54,,10
user_0366,42.579163093159075,18-24,,18
user_0367,35.4669045731881,25-34,,58
user_0368,26.380122297684945,35-44,,51
user_0369,17.413449751097833,55+,sleep_disorder,15
user_0370,57.989584952989425,25-34,"anxiety_prone,sleep_disorder",18
user_0371,13.492288259316314,25-34,,24
user_0372,38.452230626567385,35-44,,38
user_0373,6.037650452545873,35-44,,8
user_0374,73.93001138955421,55+,,6
user_0375,14.017182249124401,25-34,,5
user_0376,77.29231268041377,45-54,grief_sensitive,54
user_0377,56.73314957434905,55+,,2
user_0378,27.148290093523887,55+,,55
user_0379,20.129888533577393,18-24,sleep_disorder,25
user_0380,48.1636224321814,55+,grief_sensitive,22
user_0381,43.43571925582648,18-24,sleep_disorder,2
user_0382,13.325684338811103,35-44,,1
user_0383,37.06017134952325,55+,,29
user_0384,32.104703817368645,35-44,grief_sensitive,35
user_0385,35.89937141222278,55+,"anxiety_prone,sleep_disorder",40
user_0386,14.557081298472802,45-54,,52
user_0387,31.367568976014127,45-54,anxiety_prone,16
user_0388,36.24111867601334,55+,,21
user_0389,55.17227840364718,55+,,5
user_0390,5.0,35-44,grief_sensitive,23
user_0391,41.00445551129501,18-24,,34
user_0392,26.14741420906696,18-24,grief_sensitive,58
user_0393,48.45409718483108,18-24,,45
user_0394,44.60418783447168,18-24,,26
user_0395,10.32429683071778,18-24,,34
user_0396,5.0,18-24,,45
user_0397,24.49842621407646,35-44,grief_sensitive,3
user_0398,5.512234612570036,45-54,anxiety_prone,9
user_0399,26.971630102560706,45-54,,50
user_0400,13.363934417640053,45-54,,45
user_0401,23.801773824628107,35-44,sleep_disorder,24
user_0402,58.95524033600522,18-24,anxiety_prone,59
user_0403,19.32500510672886,18-24,,5
user_0404,33.74650252737976,35-44,"grief_sensitive,anxiety_prone",18
user_0405,33.07294077064677,55+,,48
user_0406,42.34524703747928,25-34,anxiety_prone,2
user_0407,57.81221173895283,35-44,"grief_sensitive,sleep_disorder",53
user_0408,64.72532462417546,25-34,grief_sensitive,23
user_0409,16.344639744804958,18-24,sleep_disorder,40
user_0410,58.53552100741318,25-34,,34
user_0411,25.541933496957526,25-34,,58
user_0412,38.32613350823766,18-24,,40
user_0413,43.97323446548032,35-44,sleep_disorder,27
user_0414,48.573178936303144,18-24,,38
user_0415,26.780582622437215,35-44,,55
user_0416,52.03693076005922,35-44,,24
user_0417,27.154292879383725,45-54,,13
user_0418,77.76561137462011,45-54,,37
user_0419,61.14434038298211,35-44,,39
user_0420,46.21964677472505,25-34,anxiety_prone,39
user_0421,9.125695836561308,55+,,21
user_0422,26.778206134914967,45-54,,1
user_0423,23.92241027557463,45-54,grief_sensitive,1
user_0424,37.219144351616414,55+,grief_sensitive,48
user_0425,59.74636313161926,45-54,sleep_disorder,26
user_0426,32.01133906501959,25-34,,45
user_0427,76.80440895023561,55+,grief_sensitive,28
user_0428,15.490115794858811,18-24,,53
user_0429,39.75484310855862,55+,"grief_sensitive,anxiety_prone",1
user_0430,76.05421189622969,55+,,20
user_0431,15.608902305896002,45-54,,50
user_0432,70.27226391567447,35-44,anxiety_prone,7
user_0433,8.166907094152442,25-34,,39
user_0434,22.326985822507332,55+,grief_sensitive,56
user_0435,5.0,25-34,,1
user_0436,31.303013712706257,55+,,37
user_0437,15.163311420645572,18-24,,5
user_0438,23.20251295052754,25-34,,10
user_0439,40.86262110658713,25-34,sleep_disorder,2
user_0440,30.093574633801506,45-54,sleep_disorder,21
user_0441,52.19315643470114,55+,sleep_disorder,8
user_0442,35.048018427869906,18-24,anxiety_prone,58
user_0443,48.173349804364115,45-54,"grief_sensitive,anxiety_prone",11
user_0444,32.07217256097521,18-24,"grief_sensitive,anxiety_prone",29
user_0445,30.304755530746203,25-34,,17
user_0446,29.092006518533438,18-24,,55
user_0447,38.856095067358495,35-44,,18
user_0448,6.763435035865621,45-54,sleep_disorder,30
user_0449,40.19715913602668,35-44,,29
user_0450,36.888331471033695,55+,anxiety_prone,1
user_0451,52.06507947326173,35-44,,29
user_0452,41.29419643272166,35-44,anxiety_prone,30
user_0453,12.747662468340321,35-44,sleep_disorder,56
user_0454,8.293657442837105,25-34,anxiety_prone,45
user_0455,15.451049896181532,45-54,,10
user_0456,24.474905765171737,25-34,,28
user_0457,8.348967323994174,55+,,46
user_0458,26.02018608508785,18-24,anxiety_prone,54
user_0459,43.35492715586543,55+,sleep_disorder,37
user_0460,9.68604083970486,35-44,sleep_disorder,48
user_0461,43.10607274312972,55+,,36
user_0462,33.26469038915409,35-44,,42
user_0463,6.076461014473722,25-34,,56
user_0464,26.658351514019117,45-54,,41
user_0465,8.586456166488771,55+,sleep_disorder,59
user_0466,5.0,55+,"grief_sensitive,sleep_disorder",53
user_0467,5.0,45-54,"grief_sensitive,sleep_disorder",51
user_0468,40.814285667321634,35-44,,17
user_0469,34.07672183866713,55+,,35
user_0470,12.15911717266184,55+,,47
user_0471,54.28364674574181,35-44,grief_sensitive,18
user_0472,17.907396479169172,25-34,anxiety_prone,25
user_0473,14.997229880738821,35-44,,52
user_0474,38.40542074630059,18-24,,43
user_0475,29.01840535596232,55+,,10
user_0476,20.73624753142567,55+,,11
user_0477,34.174002625062535,18-24,,20
user_0478,63.4023642310548,55+,sleep_disorder,13
user_0479,6.460945650731594,35-44,,54
user_0480,28.92298745123543,18-24,"grief_sensitive,anxiety_prone",21
user_0481,35.40179564752345,45-54,anxiety_prone,1
user_0482,9.137525251477102,55+,sleep_disorder,30
user_0483,8.942497692041686,25-34,,8
user_0484,8.51150014193068,55+,grief_sensitive,21
user_0485,15.481938980053533,55+,grief_sensitive,14
user_0486,15.910094840869482,35-44,,42
user_0487,36.94826280033841,45-54,,58
user_0488,43.781780264173285,55+,,40
user_0489,41.086407285806516,55+,,39
user_0490,6.99309858176086,25-34,,39
user_0491,18.923673019947483,55+,,40
user_0492,30.52853280164537,45-54,,36
user_0493,40.86525945586848,35-44,grief_sensitive,49
user_0494,59.33348089763406,55+,,46
user_0495,41.3532400420368,45-54,grief_sensitive,55
user_0496,51.493710110631554,25-34,grief_sensitive,54
user_0497,5.187196550717391,55+,,27
user_0498,28.79580934261248,45-54,anxiety_prone,2
user_0499,45.61698777213303,55+,,18
